Division,Team,City,Stadium,Capacity,Coordinates,Founded,Joined,Ref
American League,American League,American League,American League,American League,American League,American League,American League,American League
East,Baltimore Orioles,"Baltimore, Maryland",Oriole Park at Camden Yards,"45,971",39°17′2″N 76°37′18″W﻿ / ﻿39.28389°N 76.62167°W,1901*,1901*,
East,Boston Red Sox,"Boston, Massachusetts",Fenway Park,"37,949",42°20′47″N 71°5′51″W﻿ / ﻿42.34639°N 71.09750°W,1901,1901,
East,New York Yankees,"New York City, New York",Yankee Stadium,"47,309",40°49′45″N 73°55′35″W﻿ / ﻿40.82917°N 73.92639°W,1901*,1901*,
East,Tampa Bay Rays,"St. Petersburg, Florida",Tropicana Field,"31,042",27°46′6″N 82°39′12″W﻿ / ﻿27.76833°N 82.65333°W,1998,1998,
East,Toronto Blue Jays,"Toronto, Ontario",Rogers Centre,"49,282",43°38′29″N 79°23′21″W﻿ / ﻿43.64139°N 79.38917°W,1977,1977,
Central,Chicago White Sox,"Chicago, Illinois",Guaranteed Rate Field,"40,615",41°49′48″N 87°38′2″W﻿ / ﻿41.83000°N 87.63389°W,1901,1901,
Central,Cleveland Guardians,"Cleveland, Ohio",Progressive Field,"34,830",41°29′45″N 81°41′7″W﻿ / ﻿41.49583°N 81.68528°W,1901,1901,
Central,Detroit Tigers,"Detroit, Michigan",Comerica Park,"41,297",42°20′21″N 83°2′55″W﻿ / ﻿42.33917°N 83.04861°W,1901,1901,
Central,Kansas City Royals,"Kansas City, Missouri",Kauffman Stadium,"37,903",39°3′5″N 94°28′50″W﻿ / ﻿39.05139°N 94.48056°W,1969,1969,
Central,Minnesota Twins,"Minneapolis, Minnesota",Target Field,"38,871",44°58′54″N 93°16′42″W﻿ / ﻿44.98167°N 93.27833°W,1901*,1901*,
West,Houston Astros,"Houston, Texas",Minute Maid Park,"41,676",29°45′25″N 95°21′20″W﻿ / ﻿29.75694°N 95.35556°W,1962 (NL),2013 (AL),
West,Los Angeles Angels,"Anaheim, California",Angel Stadium,"45,957",33°48′1″N 117°52′58″W﻿ / ﻿33.80028°N 117.88278°W,1961,1961,
West,Oakland Athletics,"Oakland, California",RingCentral Coliseum,"35,067",37°45′6″N 122°12′2″W﻿ / ﻿37.75167°N 122.20056°W,1901*,1901*,
West,Seattle Mariners,"Seattle, Washington",T-Mobile Park,"47,943",47°35′29″N 122°19′57″W﻿ / ﻿47.59139°N 122.33250°W,1977,1977,
West,Texas Rangers,"Arlington, Texas",Globe Life Field,"40,300",32°45′5″N 97°4′58″W﻿ / ﻿32.75139°N 97.08278°W,1961*,1961*,
National League,National League,National League,National League,National League,National League,National League,National League,National League
East,Atlanta Braves,"Cumberland, Georgia",Truist Park,"41,500",33°53′24″N 84°28′4″W﻿ / ﻿33.89000°N 84.46778°W,1871* (NA),1876 (NL),
East,Miami Marlins,"Miami, Florida",LoanDepot Park,"36,742",25°46′41″N 80°13′11″W﻿ / ﻿25.77806°N 80.21972°W,1993,1993,
East,New York Mets,"New York City, New York",Citi Field,"41,922",40°45′25″N 73°50′45″W﻿ / ﻿40.75694°N 73.84583°W,1962,1962,
East,Philadelphia Phillies,"Philadelphia, Pennsylvania",Citizens Bank Park,"43,651",39°54′21″N 75°9′59″W﻿ / ﻿39.90583°N 75.16639°W,1883,1883,
East,Washington Nationals,"Washington, D.C.",Nationals Park,"41,313",38°52′22″N 77°0′27″W﻿ / ﻿38.87278°N 77.00750°W,1969*,1969*,
Central,Chicago Cubs,"Chicago, Illinois",Wrigley Field,"41,268",41°56′54″N 87°39′20″W﻿ / ﻿41.94833°N 87.65556°W,1870 (NA),1876 (NL),
Central,Cincinnati Reds,"Cincinnati, Ohio",Great American Ball Park,"42,319",39°5′51″N 84°30′24″W﻿ / ﻿39.09750°N 84.50667°W,1882 (AA),1890 (NL),
Central,Milwaukee Brewers,"Milwaukee, Wisconsin",American Family Field,"41,900",43°1′42″N 87°58′16″W﻿ / ﻿43.02833°N 87.97111°W,1969* (AL),1998 (NL),
Central,Pittsburgh Pirates,"Pittsburgh, Pennsylvania",PNC Park,"38,362",40°26′49″N 80°0′21″W﻿ / ﻿40.44694°N 80.00583°W,1882 (AA),1887 (NL),
Central,St. Louis Cardinals,"St. Louis, Missouri",Busch Stadium,"43,975",38°37′21″N 90°11′35″W﻿ / ﻿38.62250°N 90.19306°W,1882 (AA),1892 (NL),
West,Arizona Diamondbacks,"Phoenix, Arizona",Chase Field,"48,519",33°26′43″N 112°4′1″W﻿ / ﻿33.44528°N 112.06694°W,1998,1998,
West,Colorado Rockies,"Denver, Colorado",Coors Field,"46,897",39°45′22″N 104°59′39″W﻿ / ﻿39.75611°N 104.99417°W,1993,1993,
West,Los Angeles Dodgers,"Los Angeles, California",Dodger Stadium,"56,000",34°4′25″N 118°14′24″W﻿ / ﻿34.07361°N 118.24000°W,1884* (AA),1890 (NL),
West,San Diego Padres,"San Diego, California",Petco Park,"40,162",32°42′26″N 117°9′24″W﻿ / ﻿32.70722°N 117.15667°W,1969,1969,
West,San Francisco Giants,"San Francisco, California",Oracle Park,"41,915",37°46′43″N 122°23′21″W﻿ / ﻿37.77861°N 122.38917°W,1883*,1883*,
